index,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Private Or Public,Industry,Sector,Revenue,Competitors
10,Data Scientist,$137K-$171K ,4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
11,Data Scientist,$137K-$171K ,4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions"
12,"Data Scientist - Statistics, Early Career",$137K-$171K ,3.7,"PNNL
3.7","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Non Profit,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
13,Data Modeler,$137K-$171K ,3.1,"Old World Industries
3.1","Northbrook, IL","Northbrook, IL",201 to 500 employees,1973,Company - Private, Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),None
14,Data Scientist,$137K-$171K ,3.4,"Mathematica Policy Research
3.4","Washington, DC","Princeton, NJ",1001 to 5000 employees,1986,Company - Private, Private,Consulting,Business Services,$100 to $500 million (USD),None
15,Experienced Data Scientist,$137K-$171K ,4.4,"Guzman & Griffin Technologies (GGTI)
4.4","Washington, DC","Mays Landing, NJ",1 to 50 employees,1997,Company - Private, Private,Federal Agencies,Government,Unknown / Non-Applicable,None
16,Data Scientist - Contract,$137K-$171K ,4.1,"Upside Business Travel
4.1",Remote,"Washington, DC",51 to 200 employees,2015,Company - Private, Private,Internet,Information Technology,Unknown / Non-Applicable,None
17,Data Scientist,$137K-$171K ,3.5,"Buckman
3.5","Memphis, TN","Memphis, TN",1001 to 5000 employees,1945,Company - Private, Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),None
18,Data Analyst II,$137K-$171K ,4.2,"Insight Enterprises, Inc.
4.2","Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,Company - Public, Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International"
19,Medical Lab Scientist,$137K-$171K ,3.5,"Tower Health
3.5","West Grove, PA","Reading, PA",5001 to 10000 employees,2017,Nonprofit Organization,Non Profit,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,None
20,Data Scientist,$137K-$171K ,3.2,"Triplebyte
3.2","New York, NY","San Francisco, CA",51 to 200 employees,2015,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
21,Data Scientist/Machine Learning,$137K-$171K ,4.3,"PulsePoint
4.3","New York, NY","New York, NY",51 to 200 employees,2011,Company - Private, Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk"
22,Human Factors Scientist,$137K-$171K ,3.5,"Exponent
3.5","Phoenix, AZ","Menlo Park, CA",1001 to 5000 employees,1967,Company - Public, Public,Consulting,Business Services,$100 to $500 million (USD),None
23,Business Intelligence Analyst I- Data Insights,$137K-$171K ,3.5,"Guardian Life
3.5","Appleton, WI","New York, NY",5001 to 10000 employees,1860,Company - Private, Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),Northwestern Mutual
24,Data Scientist,$137K-$171K ,3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL",51 to 200 employees,1992,Company - Private, Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),None
25,Data Scientist,$137K-$171K ,4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private, Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),None
26,Data Scientist - Risk,$137K-$171K ,4.2,"LSQ
4.2","Orlando, FL","Orlando, FL",51 to 200 employees,1996,Company - Private, Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),None
27,Data Scientist-Human Resources,$137K-$171K ,3.8,"MIT Lincoln Laboratory
3.8","Lexington, MA","Lexington, MA",1001 to 5000 employees,1951,Nonprofit Organization,Non Profit,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,None
28,Data Scientist,$137K-$171K ,4.5,"Kingfisher Systems
4.5","McLean, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private, Private,Federal Agencies,Government,$25 to $50 million (USD),None
29,Data Scientist,$137K-$171K ,2.8,"Formation
2.8","San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
30,Data Scientist,$75K-$131K ,3.8,"Analysis Group
3.8","Boston, MA","Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Non Profit,Consulting,Business Services,$100 to $500 million (USD),None
31,Data Scientist / Machine Learning Expert,$75K-$131K ,3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),None
32,Data Scientist,$75K-$131K ,5,"Cohere Health
5.0","Boston, MA","Boston, MA",1 to 50 employees,2019,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
33,Senior Research Statistician- Data Scientist,$75K-$131K ,4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private, Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),None
34,Data Engineer,$75K-$131K ,3.6,"Chef
3.6",United States,"Seattle, WA",201 to 500 employees,2008,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Puppet, Ansible, SaltStack"
35,Associate Data Scientist,$75K-$131K ,3.3,"Puget Sound Energy
3.3","Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999,Company - Private, Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),None
36,Business Intelligence Analyst,$75K-$131K ,2.7,"Sandhills Global
2.7","Lincoln, NE","Lincoln, NE",1001 to 5000 employees,1978,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),None
37,Data Scientist,$75K-$131K ,2.7,"A Place for Mom
2.7","Overland Park, KS","New York, NY",501 to 1000 employees,2000,Company - Private, Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Enlivant, Sunrise Senior Living, Brookdale Senior Living"
38,Data Scientist,$75K-$131K ,2.2,"Great-Circle Technologies
2.2","Chantilly, VA","Chantilly, VA",1 to 50 employees,2000,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),None
39,Senior Analyst/Data Scientist,$75K-$131K ,3.4,"Edmunds.com
3.4","Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,1966,Company - Private, Private,Internet,Information Technology,$100 to $500 million (USD),"TrueCar, Cars.com, Kelley Blue Book"
40,Data Analyst,$75K-$131K ,3.1,"Cambridge Associates, LLC
3.1","Boston, MA","Boston, MA",501 to 1000 employees,1973,Company - Private, Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),None
41,Machine Learning Engineer,$75K-$131K ,3.4,"Liberty Mutual Insurance
3.4","Portsmouth, NH","Boston, MA",10000+ employees,1912,Company - Private, Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm"
42,Data Analyst I,$75K-$131K ,2.6,"Cenlar
2.6","Ewing, NJ","Ewing, NJ",1001 to 5000 employees,1958,Company - Private, Private,None,None,$100 to $500 million (USD),None
43,Scientist - Molecular Biology,$75K-$131K ,5,"Arsenal Biosciences
5.0","South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
44,Data Scientist,$75K-$131K ,4.2,"Eversight
4.2","Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2013,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),None
45,"Computational Scientist, Machine Learning",$75K-$131K ,4.1,"Pfizer
4.1","Cambridge, MA","New York, NY",10000+ employees,1849,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),None
46,Senior Data Scientist,$75K-$131K ,4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
47,Data Scientist,$75K-$131K ,3.3,"Intellectual Ventures
3.3","Bellevue, WA","Bellevue, WA",501 to 1000 employees,2000,Company - Private, Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,None
48,Data Scientist,$75K-$131K ,3.7,"GovTech
3.7","San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,2016,Government,Non Profit,Federal Agencies,Government,Unknown / Non-Applicable,None
49,Data Scientist,$75K-$131K ,4.3,"Quick Base
4.3","Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
50,Data Analyst,$75K-$131K ,4.8,"Giving Assistant
4.8","San Francisco, CA","San Francisco, CA",1 to 50 employees,2014,Company - Private, Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),None
51,Data Scientist,$75K-$131K ,3.7,"Takeda
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer"
52,Data Scientist,$75K-$131K ,4,"Netskope
4.0","San Francisco, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock"
53,Jr. Data Engineer,$75K-$131K ,4.8,"IT Concepts
4.8",Remote,"Vienna, VA",51 to 200 employees,2003,Company - Private, Private,IT Services,Information Technology,$10 to $25 million (USD),None
54,E-Commerce Data Analyst,$75K-$131K ,3.5,"iSeatz
3.5","New Orleans, LA","New Orleans, LA",51 to 200 employees,1999,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
55,Data Analytics Engineer,$75K-$131K ,3.7,"Summa Health System
3.7","Akron, OH","Akron, OH",5001 to 10000 employees,1926,Nonprofit Organization,Non Profit,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),None
56,Senior Data Scientist,$75K-$131K ,3.5,"Benson Hill
3.5","Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),None
57,Product Data Scientist - Ads Data Science,$75K-$131K ,4.1,"Twitter
4.1","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public, Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest"
58,Data Scientist,$75K-$131K ,3.2,"Postmates - Corporate HQ
3.2","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Company - Private, Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,"DoorDash, Uber, Grubhub"
59,Data Scientist - Intermediate,$75K-$131K ,4.5,"Envision LLC
4.5","Saint Louis, MO","Saint Louis, MO",201 to 500 employees,1994,Company - Private, Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),None
60,Data Analyst,$75K-$131K ,3.8,"Swiss Re
3.8","Fort Wayne, IN","Zurich, Switzerland",10000+ employees,1863,Company - Public, Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR"
61,Machine Learning Engineer,$75K-$131K ,4.5,"Systems & Technology Research
4.5","Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),None
62,Data Scientist,$79K-$131K ,3.5,"iRobot
3.5","Bedford, MA","Bedford, MA",1001 to 5000 employees,1990,Company - Public, Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),None
63,Data Scientist,$79K-$131K ,4.2,"HG Insights
4.2","Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2010,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
64,Global Data Analyst,$79K-$131K ,3.8,"Dermalogica
3.8","Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Non Profit,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's"
65,Data Engineer,$79K-$131K ,3.7,"Bayview Asset Management
3.7","Coral Gables, FL","Coral Gables, FL",1001 to 5000 employees,1995,Company - Private, Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),None
66,Data Scientist,$79K-$131K ,3.7,"Via Transportation
3.7","New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private, Private,Internet,Information Technology,Unknown / Non-Applicable,None
67,Data Scientist,$79K-$131K ,4,"Grid Dynamics
4.0","Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,2006,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Luxoft, EPAM, Capgemini Invent"
68,Data & Machine Learning Scientist,$79K-$131K ,3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
69,Data Scientist - Machine Learning,$79K-$131K ,2.5,"CareDx
2.5","Brisbane, CA","Brisbane, CA",1 to 50 employees,None,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Sequenom
70,Data Engineer (Remote),$79K-$131K ,4.2,"IZEA
4.2","Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public, Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias"
71,"Data Scientist, Applied Machine Learning - Bay Area",$79K-$131K ,3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
72,Principal Data Scientist,$79K-$131K ,4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public, Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),None
73,Business Data Analyst,$79K-$131K ,3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL",10000+ employees,1925,Company - Public, Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial"
74,Purification Scientist,$79K-$131K ,4.9,"New England Biolabs
4.9","Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina"
75,Data Analyst,$79K-$131K ,3.4,"Allied Solutions
3.4","Carmel, IN","Carmel, IN",1001 to 5000 employees,2001,Subsidiary or Business Segment,Non Profit,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),"CUNA Mutual, SWBC, Overby-Seawell"
76,"Data Engineer, Enterprise Analytics",$79K-$131K ,3.1,"Healthfirst
3.1","New York, NY","New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Non Profit,Insurance Carriers,Insurance,Unknown / Non-Applicable,"EmblemHealth, UnitedHealth Group, Aetna"
77,Data Scientist,$79K-$131K ,3.5,"The Knot Worldwide
3.5","Washington, DC","Chevy Chase, MD",1001 to 5000 employees,2019,Company - Private, Private,Internet,Information Technology,Unknown / Non-Applicable,Zola Registry
78,Data Scientist,$79K-$131K ,2.9,"IFG Companies
2.9","New York, NY","Hartford, CT",201 to 500 employees,1985,Company - Private, Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI"
79,Data Scientist 3 (718),$79K-$131K ,3.3,"Amyris
3.3","Emeryville, CA","Emeryville, CA",201 to 500 employees,2003,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),None
80,"Real World Science, Data Scientist",$79K-$131K ,4,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
81,Data Scientist,$79K-$131K ,3.6,"Powertek
3.6","Washington, DC","Rockville, MD",51 to 200 employees,2001,Company - Private, Private,IT Services,Information Technology,$25 to $50 million (USD),None
82,Data Engineer,$79K-$131K ,4.7,"Object Partners
4.7","Saint Louis, MO","Minneapolis, MN",51 to 200 employees,1996,Company - Private, Private,Consulting,Business Services,$25 to $50 million (USD),"Solution Design Group, Intertech (Minnesota)"
83,Data Scientist - Image and Video Analytics,$79K-$131K ,4.9,"The Mom Project
4.9","Longmont, CO","Chicago, IL",1 to 50 employees,2016,Company - Private, Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,None
84,Data Scientist,$79K-$131K ,4.3,"Lightspeed Systems
4.3","Austin, TX","Austin, TX",51 to 200 employees,1999,Company - Private, Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),None
85,"Data Science Manager, Payment Acceptance - USA",$79K-$131K ,4,"Stripe
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2010,Company - Private, Private,Internet,Information Technology,Unknown / Non-Applicable,"Braintree, Authorize.Net, PayPal"
86,Data Analyst,$79K-$131K ,2.6,"Comprehensive Healthcare
2.6","Yakima, WA","Yakima, WA",501 to 1000 employees,1971,Nonprofit Organization,Non Profit,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,None
87,Data Scientist / Applied Mathematician,$79K-$131K ,4.5,"Fullpower Technologies, Inc.
4.5","Santa Cruz, CA","Santa Cruz, CA",51 to 200 employees,2003,Company - Private, Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),None
88,Machine Learning Engineer,$79K-$131K ,4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
89,Data Scientist,$79K-$131K ,3.9,"Mars
3.9",United States,"Mc Lean, VA",10000+ employees,1911,Company - Private, Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),None
90,Patient Safety- Associate Data Scientist,$79K-$131K ,4,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
91,Machine Learning Engineer,$79K-$131K ,4.4,"NuWave Solutions
4.4","Springfield, VA","Mc Lean, VA",51 to 200 employees,1999,Company - Private, Private,IT Services,Information Technology,$5 to $10 million (USD),None
92,Senior Data Scientist,$79K-$131K ,4.2,"ManTech
4.2","Alexandria, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public, Public,Research & Development,Business Services,$1 to $2 billion (USD),None
93,(Sr.) Data Scientist -,$79K-$131K ,3.6,"Merrick Bank
3.6",Utah,"South Jordan, UT",201 to 500 employees,1997,Company - Private, Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,None
94,Data Scientist,$99K-$132K ,3.4,"Mathematica Policy Research
3.4","Washington, DC","Princeton, NJ",1001 to 5000 employees,1986,Company - Private, Private,Consulting,Business Services,$100 to $500 million (USD),None
95,Staff Data Scientist - Analytics,$99K-$132K ,4.4,"Intuit - Data
4.4","San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public, Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block"
96,Data Analytics Engineer,$99K-$132K ,3.5,"QOMPLX
3.5","Reston, VA","Reston, VA",51 to 200 employees,2015,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),None
97,"Data Scientist, Kinship - NYC/Portland",$99K-$132K ,3.9,"Mars
3.9","New York, NY","Mc Lean, VA",10000+ employees,1911,Company - Private, Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),None
98,Senior Data Scientist,$99K-$132K ,3.8,"GutCheck
3.8","Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private, Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey"
99,Applied Technology Researcher / Data Scientist,$99K-$132K ,3.5,"Inter-American Development Bank
3.5","Washington, DC","Washington, DC",1001 to 5000 employees,1959,Other Organization,Non Profit,Banks & Credit Unions,Finance,$10+ billion (USD),"The World Bank, IMF"
100,Data Scientist,$99K-$132K ,4.9,"Avlino
4.9",New Jersey,"Holmdel, NJ",1 to 50 employees,2013,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),None
101,Machine Learning Engineer,$99K-$132K ,4.4,"Stratagem Group
4.4","Aurora, CO","Aurora, CO",1 to 50 employees,2007,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,None
102,Health Data Scientist - Biomedical/Biostats,$99K-$132K ,4.1,"Evidation
4.1","Santa Barbara, CA","San Mateo, CA",51 to 200 employees,2012,Company - Private, Private,Internet,Information Technology,Unknown / Non-Applicable,None
103,Senior Data Scientist,$99K-$132K ,4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public, Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),None
104,Staff Data Scientist,$99K-$132K ,4.4,"Intuit - Data
4.4","San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public, Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block"
105,Data Scientist,$99K-$132K ,3.8,"Tecolote Research
3.8","Hill AFB, UT","Goleta, CA",501 to 1000 employees,1973,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),None
106,Sr Data Engineer (Sr BI Developer),$99K-$132K ,3.2,"Tivity Health
3.2","Chandler, AZ","Franklin, TN",501 to 1000 employees,1981,Company - Public, Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,None
107,Data Engineer,$99K-$132K ,2.9,"hc1
2.9","Indianapolis, IN","Indianapolis, IN",51 to 200 employees,2011,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),None
108,Lead Data Scientist,$99K-$132K ,4.1,"HP Inc.
4.1","San Diego, CA","Palo Alto, CA",10000+ employees,1939,Company - Public, Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
109,Data Scientist,$99K-$132K ,3.7,"SAIC
3.7","Chantilly, VA","Reston, VA",10000+ employees,2013,Company - Public, Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),"Booz Allen Hamilton, CACI International"
110,RFP Data Analyst,$99K-$132K ,3.2,"AllianceBernstein
3.2","Nashville, TN","New York, NY",1001 to 5000 employees,1967,Company - Public, Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),None
111,Data Analyst,$99K-$132K ,4.9,"Big Huge Games
4.9","Timonium, MD","Lutherville Timonium, MD",51 to 200 employees,2013,Subsidiary or Business Segment,Non Profit,Video Games,Media,Unknown / Non-Applicable,None
112,Data Scientist (TS/SCI),$99K-$132K ,3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,None,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),None
113,Data Engineer,$99K-$132K ,5,"Phantom AI
5.0","Burlingame, CA","Burlingame, CA",1 to 50 employees,2016,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
114,Data Scientist,$99K-$132K ,4,"Noblis
4.0","Reston, VA","Reston, VA",1001 to 5000 employees,1996,Nonprofit Organization,Non Profit,Consulting,Business Services,$100 to $500 million (USD),"Booz Allen Hamilton, SAIC, LMI"
115,Data Scientist,$99K-$132K ,3.6,"Spring Health
3.6","New York, NY","New York, NY",1 to 50 employees,2016,Company - Private, Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,None
116,Software Engineer - Data Science,$99K-$132K ,4,"ClearEdge
4.0","Annapolis Junction, MD","Annapolis Junction, MD",51 to 200 employees,2002,Company - Private, Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),None
117,Data Analyst/Engineer,$99K-$132K ,3.2,"AllianceBernstein
3.2","Nashville, TN","New York, NY",1001 to 5000 employees,1967,Company - Public, Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),None
118,NGS Scientist,$99K-$132K ,5,"Arsenal Biosciences
5.0","South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
119,Data Engineer,$99K-$132K ,4.8,"GetWellNetwork
4.8","Bethesda, MD","Bethesda, MD",201 to 500 employees,2000,Company - Private, Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),"Epic, CipherHealth"
